Term | File path | Line numbers
ProgramWizard531 | MULTI_PHASE_LEADER_ANCHOR_DESIGN.md | 191
ProgramWizard531 | tracker-ui-good\tracker-ui\src\App.jsx | 12,13,36,74
ProgramWizard531 | tracker-ui-good\tracker-ui\src\__tests__\new-architecture\V2_IMPLEMENTATION_SUMMARY.md | 29,52,81
ProgramWizard531 | tracker-ui-good\tracker-ui\src\components\program\FiveThreeOneWorkflow.jsx | 8,37,43,102,118
ProgramWizard531 | tracker-ui-good\tracker-ui\src\components\program\ProgramWizard531.jsx | 1,51
ProgramWizard531 | tracker-ui-good\tracker-ui\src\methods\531\components\ProgramWizard531V2.jsx | 2,1311
ProgramWizard531 | tracker-ui-good\tracker-ui\src\methods\531\index.js | 5
FiveThreeOne | BROMLEY_SUCCESS_REPORT.md | 72,74
FiveThreeOne | CLEANUP_COMPLETE.md | 21
FiveThreeOne | CURRENT_STATUS_UPDATE_AUGUST_2025.md | 72
FiveThreeOne | DOCUMENTATION_CLEANUP_PLAN.md | 11,101,118
FiveThreeOne | DOCUMENTATION_INDEX_UPDATED.md | 13
FiveThreeOne | FIVETHREEONE_IMPLEMENTATION_COMPLETE.md | 9,24,74,76,77,88,95,112
FiveThreeOne | GOAL_FIRST_DEVELOPMENT_PLAN.md | 118,182
FiveThreeOne | MASTER_DEVELOPMENT_PLAN.md | 12,70,157,165,175,222,229,233,281
FiveThreeOne | README.md | 26
FiveThreeOne | js\algorithms\examples\systemUsageExamples.js | 26,28,29,32,34,37,42,73,74,77,78,79,80,83,118,119,131
FiveThreeOne | js\algorithms\fiveThreeOne.js | 14,667,669
FiveThreeOne | js\algorithms\trainingSystemSelector.js | 21,55,56
FiveThreeOne | js\algorithms\volume.js | 11,77,80,83,84,125,126,181,186,202,213,215,223,231,234,235
FiveThreeOne | js\examples\fiveThreeOneExample.js | 7,10,23,26,31,37,43,49,55,61,67,68,69,86,92
FiveThreeOne | js\utils\goalBasedSelector.js | 115
FiveThreeOne | js\utils\methodologySelector.js | 7,24
FiveThreeOne | tracker-ui-good\tracker-ui\src\App.jsx | 11
FiveThreeOne | tracker-ui-good\tracker-ui\src\__tests__\new-architecture\V2_IMPLEMENTATION_SUMMARY.md | 15,43,71
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\FiveThreeOneWorkflow.jsx | 3,34,37,38,159,160
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\printable\PrintableWeek.jsx | 4,5
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\MaxTestingStep.jsx | 3,4,5,6,22
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\ProgramPreview531.jsx | 4,5,6,8
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\ScheduleSelectionStep.jsx | 3,5,8
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step10StallingReset.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step1MaxTesting.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step1ProgramFundamentals.jsx | 6
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step2TemplateGallery.jsx | 6
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step3ScheduleWarmup.jsx | 19
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step3WarmUp.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step4CycleAndProgression.jsx | 6,7
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step4CycleStructure.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step5AssistanceRouter.jsx | 6,7,8
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step5Week1Execution.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step6ConditioningRecovery.jsx | 5,6
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step6Week2Execution.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step7AdvancedCustomization.jsx | 6,7
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step7Week3Execution.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step8DeloadWeek.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step8ReviewAndStart.jsx | 6,8,25
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\Step9CycleProgression.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\components\program\steps\_registry\stepRegistry.js | 2,11
FiveThreeOne | tracker-ui-good\tracker-ui\src\contexts\SettingsContext.jsx | 3
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\engines\FiveThreeOneEngine.js | 6,228,229
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\engines\FiveThreeOneEngine.v2.js | 1,2
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\assistPlanner.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\assistanceLibrary.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\assistanceRules.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\autoRegulation.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\compute531.js | 1
FiveThreeOne | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\conditioningLibrary.js | 1
