id,display_name,category,goal,days_per_week,scheme,supplemental,assistance_mode,assistance_targets,conditioning_mode,time_per_session_min,time_per_week_min,leader_anchor_fit,pr_sets_allowed,jokers_allowed,amrap_style,deload_policy,seventh_week_default,tm_default_pct,tm_prog_upper_lb,tm_prog_lower_lb,equipment,population,seasonality,constraints,experience,book,pages,notes,tags
spinal-tap-1,Spinal Tap (All weeks in one day),Advanced Volume,,4,Run 3 weeks of 5/3/1 %s in one session (no PR sets),Jokers at any point,Assistance minimal,Conditioning low,Leader,Very high stress; TM increases each workout.,Beyond 5/3/1,77–79
spinal-tap-2,Spinal Tap (Triples Only),Advanced Volume,,4,As above but all work sets are triples,Jokers optional,Assistance minimal,Conditioning low,Leader,Best used on deadlift; purely triples across.,Beyond 5/3/1,80–82
spinal-tap-anchor-black-army,Spinal Tap — Anchor (Black Army Jacket),Anchor (peaking lite),,3–4,As SPINAL TAP days but allow PRs/Jokers at 90/95/85 as warranted,5x5 FSL for non‑pushed lifts,Push/Pull/Core: 50–100 total reps,3–4 hard; 3–5 easy,Anchor,Use bar speed to decide Jokers; don’t force PRs.,Forever (2017),117–121
anchor-5x5-3-1-guidelines,Anchor — 5×5/3/1 Guidelines,Anchor guidance,, ,Anchor companion rules,—,Push 50–100; Pull 50–100; Single‑Leg/Core 50–100 per workout,3–4 hard; 3–5 easy (max),Anchor,Used by multiple Anchor templates.,Forever (2017),96–109
strength-circuits,5/3/1 Strength Circuits,Circuit (advanced),,3–4,5x5/3/1 as Leader; Anchor allows PR/Widowmaker options,None (circuit is the work),None beyond circuit pairing,Do easy conditioning on off‑days; advanced lifters only,Leader→Anchor,Perfect form; never more than 80% TM; not for beginners.,Forever (2017),"211, 230"
full-body-leader-anchor,Full Body (Leader/Anchor,Forever),General/Flow,,3,Leader: 5’s PRO + FSL; Anchor: PR sets + Jokers as needed,Assistance Push/Pull/SLC 25–50 reps,Hard conditioning 2–3 days; easy 3–5,"Leader 2–3 cycles, then Anchor 1–2",Follows Leader/Anchor model,5/3/1 Forever,145–171
full-body-v2,Full Body (v2),Full Body (3 days),,3,Day 1 Squat 5/3/1+; Day 2 Bench 5/3/1+; Day 3 Press 5/3/1 + Deadlift 5/3/1,Second lift each day: 65/75/85x5 (or 70/80/90x3; 75/85/95; 80/90/100x1),Chins/Dips/Rows/Back raises: minimal,Keep light to support recovery,Leader→Anchor,Classic v2 update to the 2E full body; simple assistance.,Beyond (2013),71–72
full-boring,Full Body — Full Boring (high DL freq),General/Hypertrophy,,3,5/3/1 main + 65/75/85 non‑PR across days,High deadlift exposure; be cautious,Keep assistance minimal,Conditioning easy,Leader,Beginners OK; advanced lifters limit DL stress.,Beyond 5/3/1,75
full-body-pc,Full Body + Power Clean,General/Power,,3,65/75/85 PC + 5/3/1 main,FSL/Assistance moderate,Chins/Rows 5×10,Conditioning normal,Leader→Anchor,PC primes the heavy work days; alternate PC/DL as needed.,Beyond 5/3/1,72–74
full-body,Full Body (3‑day),General/Strength,,3,Main lift PR on day; 65/75/85 non‑PR on others,Assistance rows/chins 5×10,Assistance baked into days,Conditioning normal,Leader→Anchor,Squat appears on all days in certain setups.,Beyond 5/3/1,71
bbb-standard-6wk,Boring But Big — 6‑Week,Hypertrophy,,4,5/3/1 (PR on main sets),BBB 5x10 @ 50/50/60/60/70/70 (TM),Push/Pull/Core: 50–100 total reps,2–3 easy; optional 1 hard,Leader,"Map weeks exactly: W1 50, W2 50, W3 60, W4 60, W5 70, W6 70.",Beyond (2013),36
bbb-variation-1,Boring But Big — Variation I,Hypertrophy,,4,5/3/1 (PR on main sets),BBB 5x10 using First Work Set weight (65/70/75%),Push/Pull/Core: 50–100 reps,2–3 easy,Leader,"6-week progression; do required reps on main, then 5x10 @ first-set percent.",Beyond (2013),32–34
bbb-variation-2,Boring But Big — Variation II (10/8/5),Hypertrophy,,4,5/3/1 (PR on main sets),5x10@65% / 5x8@70% / 5x5@75% (TM),Push/Pull/Core: 50–100 reps,2–3 easy,Leader,Week-to-week set/rep change for BBB work.,Beyond (2013),35–36
bbb-6wk,Boring But Big (6‑Week Challenge),Hypertrophy,,4,Standard 5/3/1,W1–2: 5x10@50%; W3: 5x10@60%; W4–5: 5x10@60–70%; W6: 5x10@70%,Push/Pull/Single-Leg-Core 25–50 total reps,2–3 hard + 3–5 easy days,Leader,Push last 5/3/1 set weekly but keep BBB prescription.,Beyond 5/3/1,36
bbb-base,Boring But Big (Base),Hypertrophy,,4,Standard 5/3/1,5x10 @ 50% TM after main lift,Push/Pull/Single-Leg-Core 25–50 total reps,2–3 hard + 3–5 easy days,Use as Leader for 1–2 cycles,Start at 30–40% TM if new to BBB; deload options vary.,Beyond 5/3/1,29–31
bbb-var1,Boring But Big (Variation I),Hypertrophy,,4,Standard 5/3/1,5x10 at first-work-set load (65/70/75% TM per week),Push/Pull/Single-Leg-Core 25–50 total reps,2–3 hard + 3–5 easy days,Leader,Template One only; very taxing.,Beyond 5/3/1,32–34
bbb-var2,Boring But Big (Variation II),Hypertrophy,,4,Standard 5/3/1,W1: 5x10@65% TM; W2: 5x8@70%; W3: 5x5@75%,Push/Pull/Single-Leg-Core 25–50 total reps,2–3 hard + 3–5 easy days,Leader,Moderate variant—logical volume ramp.,Beyond 5/3/1,35
bbb-13wk,Boring But Big — 13‑Week Challenge,Hypertrophy (extended),,4,5/3/1 (PR on main sets per book guidance),BBB escalates across 13 weeks (50→70→TM singles),Push/Pull/Core: 50–100 reps,2–3 easy; manage fatigue,Leader,Spans 27 weeks if you chain 5x5→5x3→5x1; see book mapping.,Beyond (2013),39–41
bbb-5x5,Boring But Big — 5x5 @ 80%,Hypertrophy → Strength bridge,,4,5/3/1 (PR on main sets in prior block),BBB 5x5 @ 80% TM (after a 6‑wk BBB 5x10 block),Push/Pull/Core: 50–100 reps,2–3 easy,Leader,Often follows BBB 5x10 block.,Beyond (2013),37
bbb-5x3,Boring But Big — 5x3 @ 90%,Intensification,,4,5/3/1,BBB 5x3 @ 90% TM,Push/Pull/Core: 50–100 reps,2 easy; 0–1 hard,Leader,Typically run after 5x5 variation.,Beyond (2013),38
six-week-cycle-scaffold,6‑Week Cycle Scaffold,Meta,,,3x5 → 3x3 → 5/3/1; repeat; deload after two cycles,Use any variation per cycle,Template‑dependent,Template‑dependent,Both,Also includes 3/5/1 order option.,Beyond (2013),11–12
bbb-5x1,Boring But Big (5x1 @ TM),Neural/Peaking,,4,Standard 5/3/1,5x1 @ TM (after 5x3 block),Very light assistance only,2 easy conditioning days,Anchor/Peak,27‑week longform progression end‑cap.,Beyond 5/3/1,39–40
six-week-cycle,6‑Week Cycle (2 cycles no deload),Planner,,4,Two consecutive cycles then deload,Choose variation per lift,Assistance as needed,Aerobic base recommended,Planner,“Increase TM after week 3” rule.,Beyond 5/3/1,11–13
deload-menu,Deload Menu (5 styles),Recovery,,N/A,Deload options 1–5,"e.g., 5×40/50/60 or 3×65/75/85",Assistance light or none,Conditioning easy,Recovery,“Choose deload that matches fatigue & goals.”,Beyond 5/3/1,85–87
assistance-vol,Assistance Volume Guidelines,Rule,,N/A,–,Push/Pull/SLC 25–50 reps (or 100+ if no hard conditioning),Scale assistance down when conditioning up,See notes,N/A,Volume must reflect conditioning load,5/3/1 Forever,63–75
god-is-a-beast-leader,God Is A Beast (Leader),Specialty (size+strength),,4,Spinal Tap (var. 1–3) as strength portion,SST‑style supplemental as prescribed in template,Push/Pull/Core typically 50–100 reps,3 hard; 3–5 easy,Leader,Pieces of BBS + Spinal Tap; longer full cycle; patience required.,Forever (2017),107–109
beyond-base,Beyond 5/3/1 (Training Maximally),Strength,,3–6,Work to TM PR set then Jokers (105–120%),Down sets 3–5×5–8 @ 70–75% TM,Assistance as needed,Conditioning modest,Leader/Anchor,Auto‑regulated heavy singles with structured down sets.,Beyond 5/3/1,60–66
jokers-fsl,Jokers + First Set Last (kit),Strength,,4,Standard 5/3/1 + Jokers,FSL 1×AMRAP or 3–5×5–8 @ 65–75% TM,Assistance minimal,Keep hard conditioning modest,Anchor,Use PR set then Jokers when strong; balance with FSL volume.,Beyond 5/3/1,51–57
svr,SVR (3/5/1 + singles),Strength,,4,SVR (3x3 → 5x5 → 5/3/1 with heavy singles),FSL optional,Assistance optional,Conditioning moderate,Anchor,Week 3 keep working up for 3–5 singles; attempt max if good.,Beyond 5/3/1,49
strength-challenge,Strength Challenge (Beyond),Strength block,,4,5/3/1 with TM singles block progression,Pressing/leg/back assistance 5x10 (phase 1) → 3x10 (phase 2),As per template tables,"3x/week (prowler, Airdyne, walks, vest)",Both (mapped across phases),Clear deload and conditioning rules included.,Beyond (2013),166–181
rule-of-10,Rule of 10 (per week),Strength/Practice,,4,Standard 5/3/1,No down sets (accumulate 10 reps on last work weight),Keep assistance very light,Conditioning normal,Leader or Anchor,Hit total 10 reps across as many sets as needed,all weeks.,Beyond 5/3/1,
bbs,Boring But Strong (BBS 10×5),Strength/Volume,,4,5/3/1 core + BBS 10×5 supplemental,Assistance 25–50 reps,Hard conditioning max 2–3 days,Leader 2–3 cycles,Bar speed must stay crisp; 85–90% TM.,5/3/1 Forever,133–146,
fives-pro-forever,5’s PRO Forever,System,,3–4,All lifts 5’s PRO (or 5x5/3/1),Choose per lift: BBB/BBS/FSL/SSL/Widowmaker,Adjust per chosen supplemental,2–3 hard; 3–5 easy,Leader,PR sets limited; per‑lift supplemental volume is the lever.,Forever (2017),218
leviathan-system,Leviathan,System (intensity focus),,3–4,Work to TM single every week in Leader and Anchor,"After single choose: 10x5 FSL (BBS), 5x5 FSL, or 5x10 FSL (BBB)",Minimal; quality > quantity,Keep supportive; avoid new stressors,Both,"Singles, doubles or triples leading to TM; then supplemental selection.",Forever (2017),"198–199, 211"
spinal-tap-5spro-leader,Spinal Tap — 5’s PRO (Leader),Volume/Skill,,3–4,"Work‑set ladder (e.g., 70/80/90; 75/85/95; 65/75/85 — all x5, no PRs)",5x5 FSL commonly paired; superset assistance between all sets,Superset bodyweight + single‑leg + rows per day (see notes),2–3 hard; 3–5 easy,Leader,Exact 9 work sets ladder; pair assistance each set. No extra reps on work sets.,Forever (2017),118–121
football_winter_8wk_weightroom,"Winter Strength & Conditioning — 8 Week Cycle (Weight Room)",Football,strength,3,531,none,template,"Push|Pull|Single-Leg|Core","jumps_throws|sport_specific",,,standalone,,,"",,"",,,,"barbell|trap_bar|dumbbells|GHR|back_raise_bench",team,off_season,,,"5/3/1 for Football (2011)","132-144","Extra 3x5 at 55/65/75% are submax; chins between sets; start too light. (p.132–135)","frequency:3d|scheme:531|assistance:template|season:off_season|population:team"

football_winter_8wk_skill_field,"Jumps/Throws/Speed — First 8 Weeks (Skill)",Football,strength+athleticism,3,,none,,,"jumps_throws|sport_specific",,,standalone,,,"","",,"",,,"med_balls|jump_boxes",skill,off_season,,,"5/3/1 for Football (2011)","84-91,31","Falling-start sprints; Box Jumps at 80% of max; Week 4 deload; full recovery between reps.","frequency:3d|conditioning:jumps_throws|season:off_season|population:skill"

football_winter_8wk_linemen_field,"Jumps/Throws/Speed — First 8 Weeks (Linemen)",Football,strength+athleticism,3,,none,,,"jumps_throws|sport_specific",,,standalone,,,"","",,"",,,"med_balls|jump_boxes",linemen,off_season,,,"5/3/1 for Football (2011)","92-98,95","Push-up start accelerations; introduce Kneeling Coil Throw; Week 4 deload.","frequency:3d|conditioning:jumps_throws|season:off_season|population:linemen"

football_summer9_skill_field,"Going Into the Summer — 9 Weeks (Skill) [Field]",Football,strength+athleticism,3,,none,,,"jumps_throws|sport_specific",,,standalone,,,"","",,"",,,"med_balls|jump_boxes|hurdles",skill,off_season,,,"5/3/1 for Football (2011)","99-107","15–20 min football skills; increased sprint distances; Box-from-Box, Depth Jumps; deload in Weeks 4 and 9.","frequency:3d|conditioning:jumps_throws|season:off_season|population:skill"

football_summer9_linemen_field,"Going Into the Summer — 9 Weeks (Linemen) [Field]",Football,strength+athleticism,3,,none,,,"jumps_throws|sport_specific",,,standalone,,,"","",,"",,,"med_balls|jump_boxes|hurdles",linemen,off_season,,,"5/3/1 for Football (2011)","108-116","Linemen emphasis on Coil Throws; deload Weeks 4 and 9; same 3-day field structure.","frequency:3d|conditioning:jumps_throws|season:off_season|population:linemen"

football_summer9_weightroom,"Going Into the Summer — 9 Week Training Cycle (Weight Room)",Football,strength+athleticism,3,531,none,template,"Push|Pull|Single-Leg|Core","jumps_throws|sport_specific",,,standalone,,,"",,"",,,,"barbell|trap_bar|dumbbells|GHR",team,off_season,,,"5/3/1 for Football (2011)","147-155","Lower weight-room volume; more speed; deload Week 6 (use deload %); typical assistance listed per day.","frequency:3d|scheme:531|assistance:template|season:off_season|population:team"

football_precamp6_skill_field,"Summer Pre-Camp — 6 Weeks (Skill) [Field]",Football,strength+athleticism,3,,none,,,"jumps_throws|sport_specific",,,standalone,,,"","",,"",,,"med_balls|jump_boxes|hurdles|high_jump_pit",skill,off_season,,,"5/3/1 for Football (2011)","117-123","Adds 30–40 yd runs, Hurdles, Double Broad Throw; Week 4 deload.","frequency:3d|conditioning:jumps_throws|season:off_season|population:skill"

football_precamp6_linemen_field,"Summer Pre-Camp — 6 Weeks (Linemen) [Field]",Football,strength+athleticism,3,,none,,,"jumps_throws|sport_specific",,,standalone,,,"","",,"",,,"med_balls|jump_boxes|hurdles|high_jump_pit",linemen,off_season,,,"5/3/1 for Football (2011)","124-131","Linemen keep Coil Throws focus; Week 4 deload; same 3-day structure.","frequency:3d|conditioning:jumps_throws|season:off_season|population:linemen"

football_precamp6_weightroom,"Summer Pre-Camp — 6 Week Training Cycle (Weight Room)",Football,strength+athleticism,3,531,none,template,"Push|Pull|Single-Leg|Core","jumps_throws|sport_specific",,,standalone,,,"",,"",,,,"barbell|trap_bar|dumbbells|GHR",team,off_season,,,"5/3/1 for Football (2011)","156-163","Simple, repeatable Mon/Wed/Fri lift order; Week 4 deload (use deload %); assistance kept efficient.","frequency:3d|scheme:531|assistance:template|season:off_season|population:team"
